cluster,gene,p_val,p_val_adj,avg_log2FC,pct.1,pct.2
1,B3gnt6,2.3531370214418484e-5,0.6187809111583484,1.2205745958831171,0.943,0.703
1,AC098880.2,2.361977555662978e-5,0.6211056180371367,-1.5252477827569368,0.486,0.752
1,Bex1,2.3909560987435773e-5,0.628725815725611,0.9815272160888426,1,0.825
1,Kmt2c,2.4086943074175765e-5,0.6333902550785259,0.5484301563862921,1,0.963
1,Grm7,2.4746050638713424e-5,0.6507221475956082,0.7724851460509647,1,0.939
1,Crls1,2.501386291592469e-5,0.6577645392371556,0.441744592657793,1,0.984
1,Gnl3,2.504603734883959e-5,0.6586105981250859,0.24138641086570534,1,0.984
1,Reep5,2.534141466257679e-5,0.6663778399671193,0.49752461379635093,1,1
1,Nedd1,2.5633470345210493e-5,0.6740577361976551,0.9675410492224921,0.886,0.65
1,Rspo2,2.6006410363466598e-5,0.6838645669177177,-2.3649611290316397,0.429,0.687
1,Tox3,2.6352092779265795e-5,0.6929546317235733,-1.8812293772573974,0.371,0.691
1,Esam,2.6750174049822806e-5,0.7034225768141404,-1.7606588548279387,0.343,0.695
1,Tet3,2.6816004732333874e-5,0.7051536604414516,0.9684046823821753,1,0.963
1,Dusp26,2.7114626649160027e-5,0.7130062223663121,0.6297046101996306,1,0.984
1,Gprasp1,2.7524065619945502e-5,0.7237728295420869,0.5512832634714275,1,0.98
1,Tymp,2.7913723079579355e-5,0.7340192621006187,-1.2446668953139275,0.457,0.768
1,Ptger3,2.8673435912806243e-5,0.7539966707631529,1.1015681043334262,0.829,0.695
1,Csf1,2.896257294207419e-5,0.7615998180847829,0.8554899870444492,1,0.882
1,Pde1c,2.9989842636347207e-5,0.7886129019653861,-1.4237641643933179,0.514,0.813
1,Hipk3,3.057929602943103e-5,0.8041131683899184,0.4893180598309854,1,0.98
1,Abhd2,3.067396925023198e-5,0.8066026954041001,0.44480326787570057,1,0.984
1,Il13ra1,3.1319440856625405e-5,0.8235760167658217,0.7688963689352617,1,0.915
1,Lgi1,3.1542449694639095e-5,0.8294402571702296,-1.2465657747755783,0.714,0.882
1,Ly6h,3.160025699548067e-5,0.8309603579531597,-2.5455061306235507,0.314,0.679
1,Map3k5,3.179582449391192e-5,0.8361030008919079,0.8890667148346107,0.971,0.837
1,Fdps,3.2202676476522444e-5,0.8468015806266341,0.47135172940969383,1,0.996
1,Pam,3.3120518732889015e-5,0.8709371606000496,0.579626321314338,1,0.996
1,Nudt4,3.313571272543649e-5,0.871336701828078,0.27886250435444726,1,1
1,Hsd3b7,3.348302646753617e-5,0.8804696639903311,0.9720958331456773,0.971,0.911
1,Kcnmb3,3.372325134165481e-5,0.8867866172801548,3.2606904653654945,0.2,0.033
1,Lrrc8b,3.374812172282096e-5,0.8874406088233,0.7090779291338833,1,0.967
1,Zbtb7c,3.376363630317191e-5,0.8878485802282086,0.8460052295582798,0.943,0.63
1,Cyp2c23,3.448749678813609e-5,0.9068832155408266,2.6757279646443384,0.286,0.069
1,Rasgrp1,3.4520719800288995e-5,0.9077568478683994,0.7837877105017919,1,0.902
1,Susd2,3.5116451633596787e-5,0.9234222121570611,0.7026719314979735,1,0.98
1,Rida,3.5316184225793195e-5,0.9286743804014579,-0.9369075222762939,0.971,0.98
1,Fam160a2,3.534916210088839e-5,0.9295415666049612,0.6672077226660242,1,0.967
1,Rhoj,3.544034741566717e-5,0.9319393756423839,0.609957842520739,1,0.911
1,S100b,3.558973001879847e-5,0.9358675405743246,-3.0509424595750767,0.943,0.963
1,Pak1,3.608832872631054e-5,0.948978692187062,-1.0203237361958912,1,0.972
1,Ifi27l2a,3.611739423253879e-5,0.94974299873884,1.1847002890490268,0.971,0.89
1,Glipr2,3.630385474350822e-5,0.9546461643352921,0.8874177329283119,1,0.939
1,Spsb2,3.6874934914530836e-5,0.9696632885125028,0.7577990975833719,0.971,0.935
1,Hif1a,3.701668315493549e-5,0.9733907002421838,0.5525200860018682,1,0.988
1,Nrxn3,3.704046836995202e-5,0.9740161562562583,0.7092881667200777,1,0.967
1,Srsf2,3.722420618306648e-5,0.9788477257899161,0.2029702286062145,1,1
1,Magi1,3.7299248332971364e-5,0.9808210341638149,0.7197982103812972,1,0.98
1,St8sia2,3.7537019427804814e-5,0.9870734628735554,2.2535971676191413,0.714,0.512
1,Ankrd9,3.861654637247721e-5,1,-1.1265973620231269,0.771,0.907
1,Cavin3,3.957366935436005e-5,1,0.7146246125619058,1,0.976
1,Fgf9,3.993372234907158e-5,1,-2.2381806192898432,0.714,0.833
1,Fam53a,4.0006303199083566e-5,1,0.75183094373013,0.971,0.923
1,Ush1g,4.020080975476272e-5,1,-2.4165992646060293,0.343,0.61
1,Clrn1,4.03326362800476e-5,1,-3.1754531983778924,0.343,0.634
1,Lamc1,4.102200034478516e-5,1,-0.12851132291141365,0.971,0.841
1,Tpm4,4.1366832223602704e-5,1,0.6109587954617615,1,0.992
1,Gpr26,4.164931488943077e-5,1,0.7267274690667831,0.886,0.748
1,Aldh1a3,4.2097491616495316e-5,1,0.7790403467867346,1,0.866
1,Slc16a9,4.258519028204725e-5,1,-1.9731424241797888,0.314,0.65
1,Mrap,4.263623303155356e-5,1,-2.7103304676627396,0.314,0.663
1,Man1c1,4.320576085331115e-5,1,0.6034325482533598,1,0.976
1,Olfr889,4.403269244420128e-5,1,-1.9086272133817246,0.371,0.679
1,Gm14686,4.40878395643743e-5,1,2.590839067057826,0.229,0.045
1,Marcks,4.4895780024341955e-5,1,0.4655375694074966,1,0.992
